Motors scraped off: http://www.motocalc.com/data/motor.html,,,
Motors scraped off: http://www.motocalc.com/data/show.cgi?table=1,,,
This compilation of data is protected by copyright law. It may be freely used for personal, non-commercial purposes only. Use of this compilation for any other purpose is expressly forbidden.,,,
,,,
Name,kV(kV),No_Load_Current(A),Resistance(Ohm),Weight(g)
Plettenberg HP 220/15/A2 P4 Car Shadow,6597.0,2.346,0.021,156
Plettenberg HP 220/15/A2 P6 Car Indoor 2,4359.0,1.445,0.032,156
Plettenberg HP 220/15/A3 S P4 Car Indoor,4525.0,1.45,0.038,156
Plettenberg HP 220/15/B16 P14 Frstyle L,1193.0,1.15,0.13,100
Plettenberg HP 220/20/A2 P4 Pylon,5509.0,1.794,0.025,182
Plettenberg HP 220/20/A2 P6,2356.0,1.586,0.041,176
Plettenberg HP 220/20/A2 S P6,2849.0,1.736,0.043,176
Plettenberg HP 220/20/A2S P4 Car Extreme,4845.0,1.994,0.023,176
Plettenberg HP 220/20/A3 P4,2616.0,2.185,0.029,182
Plettenberg HP 220/20/A3 P6 SL,1619.0,1.199,0.056,176
Plettenberg HP 220/20/A3 S P6 SL,2001.0,1.382,0.069,176
Plettenberg HP 220/20/A4 P6,1197.0,1.283,0.096,176
Plettenberg HP 220/20/A4 S P4,2194.0,1.499,0.057,182
Plettenberg HP 220/20/A5 S P4 SL,1909.0,1.17,0.083,182
Plettenberg HP 220/25/A1 P6 (no gearbox),4593.0,2.569,0.014,182
Plettenberg HP 220/30/A2 P4 Car E-Maxx,3196.0,1.637,0.026,261
Plettenberg HP 220/30/A2 P6,1621.0,1.651,0.042,236
Plettenberg HP 220/30/A3 P4 SL,1901.0,0.696,0.046,241
Plettenberg HP 220/30/A3 P6,1076.0,1.42,0.074,236
Plettenberg HP 220/30/A3 S P4,2093.0,1.041,0.049,241
Plettenberg HP 220/30/A4 P4 SL,1453.0,1.245,0.059,241
Plettenberg HP 220/30/A4 S P4 SL,1580.0,1.493,0.068,241
Plettenberg HP 220/30/A5 P4 SL,1149.0,9.8,0.0789,241
Plettenberg HP 220/40/A2 S P4 Car E-Maxx,2187.0,1.239,0.015,261
Plettenberg HP 290/20/04 Neo,4747.0,3.231,0.046,241
Plettenberg HP 290/20/05 Neo,3461.0,2.686,0.046,241
Plettenberg HP 290/20/06 Neo,2572.0,2.274,0.054,241
Plettenberg HP 290/20/07 Neo,2281.0,2.243,0.067,241
Plettenberg HP 290/20/08 Neo,1931.0,1.862,0.073,241
Plettenberg HP 290/20/09 Neo,1748.0,2.019,0.093,241
Plettenberg HP 290/20/10 Neo,1548.0,1.794,0.122,241
Plettenberg HP 290/30/05 Torque,1848.0,2.322,0.049,290
Plettenberg HP 290/30/06,1867.0,1.814,0.066,290
Plettenberg HP 290/30/06 Torque,1417.0,2.489,0.046,290
Plettenberg HP 290/30/07,1508.0,1.811,0.082,290
Plettenberg HP 290/30/07 Torque,1359.0,2.396,0.069,290
Plettenberg HP 290/30/08,1313.0,1.554,0.088,290
Plettenberg HP 290/30/08 Torque,1066.0,2.484,0.09,290
Plettenberg HP 290/30/09,1238.0,1.684,0.122,290
Plettenberg HP 290/30/09 Torque,977.0,2.206,0.106,290
Plettenberg HP 290/30/10,1070.0,1.823,0.102,290
Plettenberg HP 290/30/10 Torque,888.0,2.117,0.128,290
Plettenberg HP 290/30/11 Torque,794.0,1.95,0.15,290
Plettenberg HP 290/30/12,908.0,1.494,0.151,290
Plettenberg HP 290/30/12 Torque,750.0,1.783,0.19,290
Plettenberg HP 290/30/13,829.0,1.45,0.18,290
Plettenberg HP 290/30/13 Torque,672.0,1.912,0.18,290
Plettenberg HP 290/40/05 (est),1386.0,11.29,0.041,241
Plettenberg HP 290/40/05 Torque,4584.0,5.796,0.237,412
Plettenberg HP 290/40/06 (est),1129.0,8.78,0.059,241
Plettenberg HP 290/40/06 Torque,1169.0,2.749,0.075,412
Plettenberg HP 290/40/07,949.0,7.1,0.08,241
Plettenberg HP 290/40/07 Torque,979.0,2.352,0.093,412
Plettenberg HP 290/40/08 (est),817.0,5.91,0.104,241
Plettenberg HP 290/40/08 Torque,833.0,2.522,0.102,412
Plettenberg HP 290/40/09 (est),715.0,5.02,0.132,241
Plettenberg HP 300/15/B7 P20 Frstyle XL,942.0,1.049,0.094,139
Plettenberg HP 300/20/A3 S,1060.0,1.5,0.035,210
Plettenberg HP 300/20/A3 S SL,1139.0,1.544,0.095,210
Plettenberg HP 300/30/A4 SL Heli,576.0,1.027,0.172,275
Plettenberg HP 300/40/A2 S,868.0,1.777,0.071,352
Plettenberg HP 300/40/A3 S,583.0,1.259,0.126,352
Plettenberg HP 320/30/08 Neo,606.0,2.3,0.184,443
Plettenberg HP 355/10/B22 P10 Orbt 10/22,1199.0,1.241,0.064,137
Plettenberg HP 355/15/B18 P10 Orbt 15/18,1074.0,1.47,0.049,137
Plettenberg HP 355/25/04 Evolution,1321.0,3.058,0.045,451
Plettenberg HP 355/25/05 Evolution,970.0,2.292,0.063,451
Plettenberg HP 355/25/06 Evolution,830.0,2.185,0.081,451
Plettenberg HP 355/25/07 Evolution,708.0,1.797,0.106,451
Plettenberg HP 355/25/08 Evolution,615.0,1.666,0.127,451
Plettenberg HP 355/30/03 Evolution,1446.0,3.208,0.029,511
Plettenberg HP 355/30/04 Evolution,1081.0,3.593,0.063,511
Plettenberg HP 355/30/05 Evolution,812.0,2.225,0.062,511
Plettenberg HP 355/30/06 Evolution,712.0,2.136,0.088,511
Plettenberg HP 355/30/07 Evolution,584.0,1.784,0.106,511
Plettenberg HP 355/30/08 Evolution,510.0,1.626,0.123,511
Plettenberg HP 355/30/09 Evolution,441.0,1.383,0.151,511
Plettenberg HP 355/30/10 Evolution,410.0,1.391,0.169,511
Plettenberg HP 355/30/11 Evolution,373.0,1.525,0.201,511
Plettenberg HP 355/37/04 Evolution,977.0,2.483,0.069,582
Plettenberg HP 355/37/05,627.0,3.6,0.035,584
Plettenberg HP 355/37/05 Evolution,783.0,2.763,0.096,582
Plettenberg HP 355/37/06 Evolution,623.0,2.143,0.098,582
Plettenberg HP 355/37/07 Evolution,514.0,2.009,0.128,582
Plettenberg HP 355/37/08 Evolution,471.0,2.085,0.172,582
Plettenberg HP 355/37/09 Evolution,423.0,1.82,0.204,582
Plettenberg HP 355/37/10 Evolution,351.0,1.628,0.179,582
Plettenberg HP 355/40/04 Evolution,804.0,2.156,0.06,627
Plettenberg HP 355/40/05 Evolution,628.0,2.036,0.068,627
Plettenberg HP 355/40/06 Evolution,504.0,1.853,0.074,627
Plettenberg HP 355/40/07 Evolution,448.0,1.684,0.11,627
Plettenberg HP 355/40/08 Evolution,409.0,1.707,0.162,627
Plettenberg HP 355/40/09 Evolution,359.0,1.648,0.183,627
Plettenberg HP 355/40/10 Evolution,323.0,1.378,0.201,627
Plettenberg HP 355/45/04 Evolution,694.0,2.169,0.057,678
Plettenberg HP 355/45/05 Evolution,537.0,1.875,0.061,678
Plettenberg HP 355/45/06 Evolution,464.0,1.821,0.1,678
Plettenberg HP 355/45/07 Evolution,396.0,1.783,0.117,678
Plettenberg HP 355/45/08 Evolution,356.0,1.571,0.148,678
Plettenberg HP 355/45/09 Evolution,313.0,1.499,0.181,678
Plettenberg HP 355/45/10 Evolution,286.0,1.571,0.203,678
Plettenberg HP 355/50/05 Evolution,524.0,2.139,0.093,721
Plettenberg HP 355/50/06 Evolution,424.0,1.922,0.108,721
Plettenberg HP 355/50/07 Evolution,365.0,1.803,0.128,721
Plettenberg HP 355/50/08 Evolution,321.0,1.813,0.152,721
Plettenberg HP 355/50/09 Evolution,292.0,1.718,0.195,721
Plettenberg HP 355/50/10 Evolution,258.0,1.58,0.208,721
Plettenberg HP 370/20/A2 S,1020.0,2.0,0.018,250
Plettenberg HP 370/20/A3,569.0,1.164,0.096,236
Plettenberg HP 370/20/A3 S,674.0,1.27,0.11,236
Plettenberg HP 370/30/A1,1104.0,2.101,0.027,341
Plettenberg HP 370/30/A2 S SL,679.0,1.332,0.061,341
Plettenberg HP 370/30/A2 SL,605.0,1.299,0.054,341
Plettenberg HP 370/40/A2,433.0,1.565,0.071,516
Plettenberg HP 370/40/A3,293.0,1.244,0.134,516
Plettenberg HP 370/50/A2,360.0,1.706,0.066,627
Plettenberg HP 370/50/A3,234.0,1.185,0.128,627
Plettenberg Orbit 15-16,1070.0,2.3,0.025,168
Plettenberg Orbit 20-14,1000.0,2.25,0.025,213
Plettenberg Orbit 20-16,700.0,2.2,0.03,213
Plettenberg Orbit 25-16,660.0,2.0,0.036,256
Plettenberg Orbit 25-18,630.0,1.6,0.046,256
Plettenberg Orbit 30-14,530.0,1.58,0.075,306
Purple Power PPB-2826-1200,1200.0,0.5,0.382,26
Purple Power PPB-2826-1400,1400.0,0.7,0.352,26
Purple Power PPB-2827-1900,1900.0,1.5,0.072,40
Purple Power PPB-2831-1000,1000.0,0.5,0.262,40
Purple Power PPB-2831-1900,1900.0,1.5,0.072,40
Purple Power PPB-2834-1000,1000.0,0.8,0.172,49
Purple Power PPB-2834-1300,1300.0,1.5,0.112,49
Purple Power PPH-300-3500,3500.0,1.2,0.223,26
Purple Power PPH-400-3200,3200.0,1.5,0.065,69
Purple Power PPH-400-3500,3500.0,1.7,0.055,69
Purple Power PPH-500-3500,3500.0,1.7,0.055,57
Purple Power PPH-600-1600,1600.0,1.5,0.042,247
Purple Power PPI-1230-3850,3850.0,0.2,0.89,18
Purple Power PPI-1230-4100,4100.0,0.2,0.732,18
Purple Power PPI-1230-4990,4990.0,0.2,0.605,18
Purple Power PPI-2032-5200,5200.0,1.4,0.084,49
Purple Power PPI-2042-3500,3500.0,1.6,0.08,60
Purple Power PPI-2042-4850,4850.0,1.8,0.045,60
Purple Power PPI-2437-4040,4040.0,0.9,0.093,66
Purple Power PPI-2437-4450,4450.0,1.2,0.067,66
Purple Power PPI-2437-4880,4880.0,1.2,0.045,66
Purple Power PPI-2447-2350,2350.0,0.5,0.078,91
Purple Power PPI-2447-2900,2900.0,0.7,0.055,91
Purple Power PPI-2447-3790,3790.0,1.2,0.031,91
Purple Power PPI-2837-2200,2200.0,0.4,0.148,66
Purple Power PPI-2837-2700,2700.0,1.2,0.084,66
Purple Power PPI-2837-3900,3900.0,2.0,0.04,66
Purple Power PPI-2837-5100,5100.0,3.0,0.025,66
Purple Power PPI-2847-2100,2100.0,0.8,0.052,125
Purple Power PPI-2847-2700,2700.0,1.1,0.047,125
Purple Power PPI-2847-3600,3600.0,1.5,0.018,125
Purple Power PPI-2857-1530,1530.0,1.1,0.057,171
Purple Power PPI-2857-2300,2300.0,1.8,0.027,171
Purple Power PPI-2857-3200,3200.0,3.2,0.014,171
Purple Power PPI-3635-3200,3200.0,3.8,0.048,120
Purple Power PPI-3635-4000,4000.0,4.0,0.03,120
Purple Power PPI-3635-5300,5300.0,4.6,0.019,120
Purple Power PPI-3642-2250,2250.0,2.3,0.035,171
Purple Power PPI-3642-2900,2900.0,2.5,0.021,171
Purple Power PPI-3642-3900,3900.0,4.3,0.013,171
Purple Power PPI-3652-1500,1500.0,1.4,0.037,230
Purple Power PPI-3652-2300,2300.0,2.8,0.019,230
Purple Power PPI-3652-3300,3300.0,5.0,0.01,230
Purple Power PPI-3657-1200,1200.0,1.0,0.039,261
Purple Power PPI-3657-1800,1800.0,1.9,0.018,261
Purple Power PPI-3657-2600,2600.0,5.3,0.01,261
Purple Power PPO-2823-1400,1400.0,0.7,0.352,35
Purple Power PPO-2827-1000,1000.0,0.5,0.262,52
Purple Power PPO-2827-1350,1350.0,1.2,0.137,52
Purple Power PPO-2827-1900,1900.0,1.5,0.072,52
Purple Power PPO-2831-1000,1000.0,0.8,0.172,57
Purple Power PPO-2831-1300,1300.0,1.5,0.112,57
Purple Power PPO-2831-750,750.0,0.5,0.352,57
Purple Power PPO-2831-850,850.0,0.6,0.272,57
Purple Power PPO-2837-1120,1120.0,1.2,0.095,69
Purple Power PPO-2837-750,750.0,0.6,0.143,69
Purple Power PPO-2837-880,880.0,0.8,0.107,69
Purple Power PPO-3530-1100,1100.0,1.5,0.082,80
Purple Power PPO-3530-1400,1400.0,1.8,0.062,80
Purple Power PPO-3530-1700,1700.0,2.2,0.042,80
Purple Power PPO-3536-1000,1000.0,1.5,0.058,108
Purple Power PPO-3536-1250,1250.0,2.4,0.042,108
Purple Power PPO-3536-1450,1450.0,2.8,0.032,108
Purple Power PPO-3542-1000,1000.0,1.8,0.053,128
Purple Power PPO-3542-1250,1250.0,2.0,0.034,128
Purple Power PPO-3542-1450,1450.0,2.3,0.027,128
Purple Power PPO-3548-1100,1100.0,1.8,0.028,168
Purple Power PPO-3548-790,790.0,1.3,0.054,168
Purple Power PPO-3548-900,900.0,1.5,0.04,168
Purple Power PPO-4240-1020,1020.0,3.9,0.031,139
Purple Power PPO-4240-890,890.0,2.6,0.04,139
Purple Power PPO-4250-600,600.0,2.5,0.036,196
Purple Power PPO-4250-800,800.0,3.5,0.027,196
Purple Power PPO-4260-500,500.0,4.3,0.023,267
Purple Power PPO-4260-600,600.0,4.7,0.017,267
Purple Power PPO-5045-720,720.0,1.7,0.027,202
Purple Power PPO-5045-890,890.0,2.6,0.021,202
Purple Power PPO-5055-400,400.0,1.6,0.031,315
Purple Power PPO-5055-580,580.0,2.3,0.02,315
Purple Power PPO-5065-270,270.0,1.5,0.042,412
Purple Power PPO-5065-320,320.0,1.9,0.034,412
Purple Power PPO-5065-380,380.0,2.0,0.027,412
Purple Power PPO-5065-410,410.0,2.0,0.02,412
QRP Hyper 400 6V,2672.0,0.89,0.254,74
RC-Timer 2204-14,1400.0,0.4,0.27,23
RC-Timer 2208-12,1800.0,1.8,0.09,37
RC-Timer 2208-14,1450.0,0.5,0.11,37
RC-Timer 2208-17,1100.0,0.4,0.225,37
RC-Timer 2208-8,2600.0,1.5,0.04,37
RC-Timer 2212-10,1400.0,0.7,0.078,52
RC-Timer 2212-6,2200.0,1.4,0.033,52
RC-Timer 2217-11,750.0,1.0,0.13,71
RC-Timer 2217-6,1500.0,1.7,0.041,71
RC-Timer 2217-7,1120.0,1.2,0.07,71
RC-Timer 2217-9,880.0,1.0,0.107,71
RC-Timer 2826-10,1400.0,0.9,0.078,52
RC-Timer 2826-13,1000.0,0.5,0.127,52
RC-Timer 2826-15,930.0,0.4,0.139,52
RC-Timer 2826-6,2200.0,1.8,0.033,52
RC-Timer 2830-11,1000.0,0.7,0.127,52
RC-Timer 2830-13,850.0,0.5,0.136,52
RC-Timer 2830-14,750.0,0.5,0.192,52
RC-Timer 2830-8,1300.0,1.1,0.075,52
RC-Timer 3530-10,1400.0,1.2,0.051,74
RC-Timer 3530-14,1100.0,1.0,0.077,74
RC-Timer 3542-4,1450.0,2.3,0.019,131
RC-Timer 3542-5,1250.0,2.0,0.021,131
RC-Timer 3542-6,1000.0,1.8,0.031,131
RC-Timer CF2805-14,2840.0,1.2,0.073,32
RC-Timer CF2822-14,1534.0,0.8,0.118,52
RCer Warp 4 BL4-15 2-Turn,3880.0,4.1,0.012,75
RCer Warp 4 BL4-15 3-Turn,2580.0,2.0,0.026,75
RCer Warp 4 BL4-15 4-Turn,1810.0,1.3,0.045,75
RCer Warp 4 BL4-15 5-Turn,1430.0,0.95,0.068,75
RCer Warp 4 BL4-15 6-Turn,1190.0,0.8,0.11,75
Razor RZ-Micro-Heli,3900.0,0.45,0.12,29
Razor RZ-Micro-Heli v2.0,4300.0,0.4,0.12,29
Razor RZ2500,3850.0,0.9,0.055,40
Razor RZ300,4900.0,0.85,0.08,29
Razor RZ350,4200.0,0.9,0.1,29
Razor RZ400,3700.0,0.75,0.12,29
Robbe EF 76II 8.4V #4013,1635.0,1.0,0.175,210
Robbe EF 76IIS 8.4V #4011,1978.0,1.1,0.142,210
Robbe Navy M 6.0V #4108,940.0,0.45,0.462,0
Robbe Navy S 4.8V #4109,2490.0,0.15,1.37,0
Robbe Navy S 6.0V #4102,1102.0,0.18,1.0,0
Robbe PRO 325/4 8.4V #4730,2190.0,2.98,0.023,250
Robbe PRO 330/4 12V #4731,1900.0,3.05,0.026,287
Robbe PRO 330/6 12V #4732,1380.0,2.73,0.045,290
Robbe PRO 525/4 12V #4750,1530.0,2.4,0.03,341
Robbe PRO 536/4 12V #4751,1050.0,2.45,0.035,440
Robbe PRO 536/7 28.8V #4752,615.0,2.6,0.13,440
Robbe PRO 736/5 24V #4770,690.0,2.5,0.055,596
Robbe PRO 736/8 33.6V #4774,430.0,3.27,0.14,596
Robbe PRO 740/6 32.4V #4771,535.0,2.02,0.06,636
Robbe PRO 744/4 36V #4772,735.0,3.33,0.05,678
Robbe PRO 744/5 32.4V #4773,605.0,3.25,0.057,678
Robbe Power 1000 12V #4474,620.0,0.65,0.48,1203
Robbe Power 400/20 4.8V 20T,4300.0,0.73,0.118,71
Robbe Power 400/35 6V 35T #4467,2833.0,0.63,0.228,71
Robbe Power 400/45 7.2V 45T #4466,2581.0,0.53,0.353,71
Robbe Power 500 7.2V 21T #4465,2759.0,1.9,0.075,162
Robbe Power 600 7.2V 19T #4472,2500.0,2.0,0.085,196
Robbe Power 600 8.4V 24T #4471,1965.0,1.8,0.12,222
Robbe Power 600 BB 7.2V 19T #4473,3258.0,1.8,0.085,196
Robbe Power 700 9.6V 13T #4470,1756.0,2.0,0.143,321
Robbe RS-380S 6.0V #3405,2770.0,0.6,0.4,74
Robbe RS-540S 7.2V #3425,2513.0,1.2,0.153,145
Robbe RS-540SD 7.2V #4076,3038.0,1.8,0.131,145
Robbe Sport 420-8 #4542,1345.0,2.9,0.102,222
Robbe Sport 430-9 #4543,861.0,1.7,0.156,290
Robbe Sport 625-5 #4564,1252.0,2.6,0.056,361
Robbe Sport 625-7 #4562 (est),857.0,1.63,0.11,352
Robbe Sport 650-8 #4565,409.0,1.0,0.201,567
Robbe Starmax 40 12V #4130,1357.0,0.9,0.231,0
Robbe Starmax 48 16V #4131,814.0,0.8,0.314,0
Robbe Starmax 48 8.4V #4132,639.0,0.7,0.311,0
Robbe Starmax-540 7.2V #4096,3929.0,2.6,0.0626,0
Robbe Turbo Std. 7.2V #4092,2053.0,0.6,0.257,0
SIG 600,1833.0,1.5,0.114,216
SR Max10,1785.0,3.9,0.1,192
SR Max7,2702.0,6.2,0.045,192
Scorpion 2205-32,1980.0,0.76,0.168,33
Scorpion 2205-36,1670.0,0.52,0.164,33
Scorpion 2205-40,1551.0,0.56,0.217,33
Scorpion 2208-30,1293.0,0.55,0.185,41
Scorpion 2208-34,1150.0,0.45,0.191,40
Scorpion 2212-1920,1920.0,1.15,0.034,55
Scorpion 2212-22,1157.0,0.6,0.119,53
Scorpion 2212-26,939.0,0.52,0.161,53
Scorpion 2215-18,1131.0,0.68,0.097,63
Scorpion 2215-1860,1860.0,1.26,0.03,65
Scorpion 2215-22,940.0,0.52,0.132,63
Scorpion 3008-28,1234.0,1.08,0.072,86
Scorpion 3008-32,1086.0,1.14,0.092,91
Scorpion 3014-16,1187.0,2.45,0.038,122
Scorpion 3014-18,1055.0,1.43,0.047,117
Scorpion 3014-22,892.0,1.22,0.062,125
Scorpion 3020-12,1088.0,2.46,0.03,156
Scorpion 3020-14,944.0,2.04,0.04,154
Scorpion 3020-16,812.0,1.64,0.056,151
Scorpion 3026-10,980.0,2.64,0.025,190
Scorpion 3026-12,840.0,2.27,0.034,190
Scorpion 3026-8,1179.0,3.02,0.022,184
Scorpion 3032-10,823.0,2.61,0.029,224
Scorpion 3032-12,687.0,2.06,0.039,224
Scorpion 3032-8,988.0,3.1,0.022,224
Scorpion 4020-10,630.0,2.24,0.016,304
Scorpion 4020-12,542.0,1.92,0.02,304
Scorpion 4020-14,484.0,1.59,0.024,298
Scorpion 4020-16,415.0,1.3,0.03,304
Scorpion 4025-10,515.0,2.32,0.016,355
Scorpion 4025-12,440.0,1.8,0.022,347
Scorpion 4025-16,332.0,1.17,0.034,353
Scorpion 4035-330,330.0,1.41,0.031,439
Scorpion 4035-380,380.0,1.52,0.025,427
Scorpion 4035-460,460.0,1.7,0.02,432
Scorpion 5525-170,170.0,0.79,0.04,638
Scorpion 5525-195,195.0,1.11,0.03,638
Scorpion 5525-225,225.0,1.43,0.025,638
Scorpion 5535-160,160.0,1.18,0.032,811
Scorpion 5535-190,190.0,1.56,0.024,811
Scorpion 5545-150,150.0,1.31,0.03,1007
Scorpion 5545-180,180.0,1.92,0.019,1007
Scorpion HK 2206-3900,3900.0,0.83,0.064,32
Scorpion HK 2208-24,3590.0,1.21,0.061,40
Scorpion HK 2208-28,3125.0,1.15,0.081,40
Scorpion HK 2208-34,2600.0,0.85,0.081,40
Scorpion HK 2213-14,3585.0,1.74,0.038,54
Scorpion HK 2213-16,3200.0,1.6,0.04,54
Scorpion HK 2213-20,2640.0,1.1,0.063,54
Scorpion HK 2216-12,3350.0,1.87,0.033,66
Scorpion HK 2216-14,2920.0,1.35,0.04,66
Scorpion HK 2216-16,2608.0,1.19,0.048,66
Scorpion HK 2216-3350,3350.0,1.87,0.033,64
Scorpion HK 2221-10,3000.0,1.79,0.031,80
Scorpion HK 2221-12,2580.0,1.5,0.038,80
Scorpion HK 2221-6,4400.0,2.89,0.016,81
Scorpion HK 2221-8,3595.0,2.31,0.024,81
Scorpion HK-2520-1360,1360.0,1.55,0.038,108
Scorpion HK-2520-1580,1580.0,1.77,0.032,104
Scorpion HK-2520-1880,1880.0,2.25,0.026,104
Scorpion HK-2520-3500,3500.0,5.8,0.008,104
Scorpion HK-3026-1210,1210.0,1.43,0.018,193
Scorpion HK-3026-1600,1600.0,1.52,0.016,194
Scorpion HK-3026-1900,1900.0,3.02,0.012,193
Scorpion HK-3226-1400,1400.0,3.89,0.011,239
Scorpion HK-3226-1600,1600.0,2.19,0.011,239
Scorpion HK-3226-900,900.0,2.21,0.019,239
Scorpion HK-3536-510,510.0,1.24,0.028,365
Scorpion HK-4015-1070,1070.0,2.02,0.019,215
Scorpion HK-4015-1450,1450.0,3.16,0.009,244
Scorpion HK-4525-520,520.0,1.75,0.012,503
Scorpion HK-4526-520,520.0,2.1,0.011,484
Scorpion HK-4530-450,450.0,1.71,0.013,564
Scorpion HK-4530-500,500.0,1.85,0.011,564
Scorpion HK-4530-540,540.0,2.11,0.01,564
Scorpion HK-4535-550,550.0,2.23,0.009,634
Scorpion HK-5020-450,450.0,1.21,0.018,468
Scorpion HK-5020-520,520.0,1.72,0.015,468
Scorpion HK-5035-500,500.0,1.03,0.012,669
Scorpion HK-7050-340,340.0,6.2,0.006,1698
Scorpion HKII-2221-10,3000.0,1.79,0.031,81
Scorpion HKII-2221-12,2580.0,1.5,0.038,81
Scorpion HKII-2221-2010,2010.0,1.01,0.052,81
Scorpion HKII-4225-500,500.0,1.62,0.018,393
Scorpion HKII-4225-550,550.0,1.77,0.016,393
Scorpion HKII-4225-610,610.0,2.33,0.013,393
Scorpion HKII-4235-520,520.0,2.3,0.012,518
Scorpion HKIII-4020-1100,1100.0,3.15,0.008,302
Scorpion HKIII-4020-1350,1350.0,3.94,0.007,302
Scorpion HKIII-4020-890,890.0,2.44,0.012,302
Scorpion HKIII-4025-1100,1100.0,3.19,0.008,354
Scorpion HKIII-4025-550,550.0,1.65,0.023,354
Scorpion HKIII-4025-650,650.0,1.78,0.016,354
Scorpion HKIII-4025-730,730.0,1.95,0.013,354
Scorpion HKIII-4025-890,890.0,2.3,0.01,354
Scorpion HKIII-4035-330,330.0,1.33,0.031,460
Scorpion HKIII-4035-450,450.0,1.85,0.02,460
Scorpion HKIII-4035-500,500.0,2.02,0.016,460
Scorpion HKIII-4035-530,530.0,2.15,0.015,460
Scorpion HKIII-4035-560,560.0,2.24,0.014,460
Scorpion HKIII-5020-450,450.0,1.31,0.017,501
Scorpion HKIII-5020-520,520.0,1.26,0.014,498
Scorpion HKIII-5025-440,440.0,1.15,0.015,566
Scorpion HKIII-5035-380,380.0,1.44,0.013,743
Scorpion HKIII-5035-410,410.0,1.53,0.012,741
Scorpion HKIII-5035-500,500.0,2.05,0.008,731
Scorpion IS-2830-4650,4650.0,2.43,0.056,170
Scorpion IS-2830-4960,4960.0,2.71,0.055,174
Scorpion IS-2835-3300,3300.0,1.76,0.08,170
Scorpion IS-2835-4300,4300.0,2.13,0.057,184
Scorpion IS-2840-3500,3500.0,1.81,0.058,198
Scorpion IS-2840-3700,3700.0,1.86,0.057,190
Scorpion IS-2840-5100,5100.0,3.61,0.033,197
Scorpion M-4010-360,360.0,0.34,0.152,152
Scorpion M-4015-340,340.0,0.47,0.108,194
Scorpion S-1804-1650,1650.0,0.25,0.4,12
Scorpion S-1805-2250,2250.0,0.25,0.4,16
Scorpion S-2503-1610,1610.0,0.35,0.18,20
Scorpion S-2503-1960,1960.0,0.44,0.135,20
Scorpion S-4025-14,390.0,0.95,0.028,347
Scorpion S-4025-16,332.0,0.83,0.034,353
Scorpion S-4035-250,250.0,0.69,0.037,465
Scorpion SII-2205-1490 V2,1490.0,0.42,0.188,36
Scorpion SII-2205-1585 V2,1585.0,0.47,0.182,36
Scorpion SII-2205-1900 V2,1900.0,0.58,0.128,36
Scorpion SII-2208-1100 V2,1100.0,0.41,0.17,45
Scorpion SII-2208-1280 V2,1280.0,0.47,0.15,45
Scorpion SII-2212-1070 V2,1070.0,0.59,0.091,58
Scorpion SII-2212-1850 V2,1850.0,1.31,0.032,58
Scorpion SII-2212-885 V2,885.0,0.41,0.151,58
Scorpion SII-2212-960 V2,960.0,0.51,0.139,58
Scorpion SII-2215-1127 V2,1127.0,0.73,0.078,69
Scorpion SII-2215-1810 V2,1810.0,1.35,0.031,69
Scorpion SII-2215-900 V2,900.0,0.52,0.142,69
Scorpion SII-3008-1090,1090.0,0.79,0.058,95
Scorpion SII-3008-1220,1220.0,0.97,0.042,95
Scorpion SII-3014-1040,1040.0,1.35,0.026,129
Scorpion SII-3014-1220,1220.0,1.64,0.018,129
Scorpion SII-3014-830,830.0,1.06,0.042,129
Scorpion SII-3020-1110,1110.0,2.08,0.016,165
Scorpion SII-3020-780,780.0,1.21,0.03,165
Scorpion SII-3020-890,890.0,1.9,0.02,165
Scorpion SII-3026-1190,1190.0,3.26,0.008,204
Scorpion SII-3026-710,710.0,1.56,0.022,204
Scorpion SII-3026-890,890.0,2.25,0.014,204
Scorpion SII-3032-690,690.0,2.71,0.022,275
Scorpion SII-3032-880,880.0,3.12,0.012,275
Scorpion SII-3032-990,990.0,4.25,0.01,275
Scorpion SII-4020-420,420.0,0.91,0.034,288
Scorpion SII-4020-540,540.0,1.22,0.034,288
Scorpion SII-4020-630,630.0,1.54,0.034,288
Scorpion SII-4025-330,330.0,0.74,0.037,353
Scorpion SII-4025-440,440.0,1.1,0.025,353
Scorpion SII-4025-520,520.0,1.4,0.016,353
Scorpion SII-4035-250,250.0,0.69,0.037,450
Scorpion SII-4035-330,330.0,1.41,0.031,435
Scorpion SII-4035-380,380.0,1.52,0.025,435
Scorpion SII-5525-170,170.0,0.78,0.042,707
Scorpion SII-5525-195,195.0,0.88,0.034,707
Scorpion SII-5525-210,210.0,1.11,0.026,707
Scorpion SII-5535-160,160.0,1.11,0.027,905
Scorpion SII-5535-190,190.0,1.24,0.022,905
Scorpion SII-6530-150,150.0,1.15,0.032,1042
Scorpion SII-6530-180,180.0,1.26,0.022,1042
Simprop Acro Speed 280BB 6V,4464.0,0.7,0.429,54
Simprop Power Speed 1500-10,1225.0,1.1,0.312,178
Simprop Power Speed 300 6V,4833.0,0.7,0.214,52
Simprop Power Speed 7/14,1518.0,2.9,0.088,0
Simprop Power Viper 400L,2065.0,0.85,0.217,120
Strontium 150 - 05,2000.0,2.5,0.075,230
Strontium 150 - 06 (est),1650.0,2.0,0.1,230
Sunnysky X2204-1480KV,1480.0,0.1,0.338,20
